artist_name,track_uri,artist_uri,track_name,album_uri,duration,album_name,artists
Will Wood,spotify:track:4TscdmeSTKo5FOP8ZS6zP1,spotify:artist:1VQ8riQ31zVHtlxiCC9EZE,"2econd-2ight-2eer (that was fun, goodbye.)",spotify:album:18N6gzTT0phzm6YktirxNe,206500,The Normal Album,Will Wood
Will Wood,spotify:track:1lqj3wgPj8gHCdq46hUjvr,spotify:artist:1VQ8riQ31zVHtlxiCC9EZE,I / Me / Myself,spotify:album:3e4el0X3Rqx0Lms74bUrkJ,291715,The Normal Album,Will Wood
Will Wood,spotify:track:49StY6V4Cus0xM0GhieSrT,spotify:artist:1VQ8riQ31zVHtlxiCC9EZE,"Love, Me Normally",spotify:album:3e4el0X3Rqx0Lms74bUrkJ,344266,The Normal Album,Will Wood
Phum Viphurit,spotify:track:1ZseaIKt19broBzze3F8hz,spotify:artist:5mqguTgtaoCMNMZD6txCh6,"Hello, Anxiety",spotify:album:40squs3MkwvdLQI8FJ9A6p,264761,"Hello, Anxiety",Phum Viphurit
Jack Stauber,spotify:track:3S4hFDy7svdrVq27dmdy7T,spotify:artist:1vVHevk2PD45epYnDi9CCc,Gettin' My Mom On,spotify:album:4RsjXMHyCUigESP74GkNHB,129103,HiLo,Jack Stauber
Nito,spotify:track:37Unx14mB8QnCx0bDjtCM8,spotify:artist:1v7B6ZWa7QRQS3knn3Jvf4,i miss you,spotify:album:4iAAZgLQNfLmyJxjNR3P2u,116791,i miss you,Nito
William Grant Still,spotify:track:3KIzqqj5I40uEBwQ8jESbF,spotify:artist:0KkJoXozXmbRdmpy7zCmYA,Summerland,spotify:album:6n2oVzEvTz97JSu6bP8brA,210640,In My Own Voice,"William Grant Still, Kelly Hall-Tompkins"
Will Wood,spotify:track:51q8dtQBsoDWAMEcGhKsXa,spotify:artist:1VQ8riQ31zVHtlxiCC9EZE,"…well, better than the alternative",spotify:album:3e4el0X3Rqx0Lms74bUrkJ,254986,The Normal Album,Will Wood
Jósean Log,spotify:track:4PpuZIMmeng6qPicveSI22,spotify:artist:1LMyTeRhjaitILs98h3MaF,Beso,spotify:album:5DtrZ74RgqpVVqLWncmqyZ,211021,Háblate de Mí,Jósean Log
Remi Wolf,spotify:track:3xJu5hrOU9OvFQSGLQiwQS,spotify:artist:0NB5HROxc8dDBXpkIi1v3d,Anthony Kiedis,spotify:album:7tJ8Wtej161vR0uCbGDiDR,171897,Juno,Remi Wolf
Lemon Demon,spotify:track:1151Q8Aev8vtz6UfuaBhAy,spotify:artist:4llAOeA6kEF4ytaB2fsmcW,Man-Made Object,spotify:album:4ocal2JegUDVQdP6KN1roI,217808,Spirit Phone,Lemon Demon
Jack Stauber,spotify:track:5yhQS5ce3WebABcdngULA8,spotify:artist:1vVHevk2PD45epYnDi9CCc,Dead Weight,spotify:album:4RsjXMHyCUigESP74GkNHB,186105,HiLo,Jack Stauber
