,artist_name,track_uri,artist_uri,track_name,album_uri,duration,album_name,artists
472,The xx,spotify:track:5CPqOpKSk0QcJ3dGdaWcRB,spotify:artist:3iOvXCl6edW5Um0fXEBRXy,On Hold,spotify:album:2PXy9USZAoTSdtrxfkPBnl,224133,I See You,The xx
473,Jen Foster,spotify:track:7j3lAZQJpUHTT1DfXQKnER,spotify:artist:4Nwq3oDSohIu7XBy5Df53C,I Didn't Just Kiss Her,spotify:album:0bzg4rGEpLGz6VeIMCf7pB,181733,The White Room Sessions,Jen Foster
474,Cœur De Pirate,spotify:track:3BROl8FUuHPJ6Swvv29PFi,spotify:artist:2eRNMtoi82UZUuaL6naDjA,Prémonition,spotify:album:0A9bRihBwAmfudignnjtXL,177693,"en cas de tempête, ce jardin sera fermé.",Cœur De Pirate
475,Sia,spotify:track:4VcmwsJTnbO8Q9ABYnNAiE,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,The Greatest,spotify:album:65SUPjKr59ncdHY2LxeYiz,210920,This Is Acting (Deluxe Edition),Sia
476,King Princess,spotify:track:53jbdPQBaH6WaQvW0zmGBs,spotify:artist:6beUvFUlKliUYJdLOXNj9C,Talia,spotify:album:5Z9ThGv7MrUjdZJREO9GOF,207720,Talia,King Princess
477,Courtney Barnett,spotify:track:78WZjgNZuIEb8yOQOOvbA1,spotify:artist:4OOlG5eBXSkSAAEeKjJb5Y,Charity,spotify:album:2ewbfsDYWpTxIfPFftdSty,250120,Tell Me How You Really Feel,Courtney Barnett
478,Donna Missal,spotify:track:4tjiivmWTWMLeFiLDuQpdG,spotify:artist:4QFHHdZkeqmneDQqKIjAN8,Girl,spotify:album:5KOz4nicWdTO5isezQXHLd,229866,Girl,Donna Missal
479,k.d. lang,spotify:track:0wCrg1LhgPcGMw51qqpI6k,spotify:artist:6W1BHDF0T4a4KYcSwzD586,Constant Craving,spotify:album:22TXLyA5GOT19O9hIdAHLE,277240,Recollection,k.d. lang
480,The Aces,spotify:track:5YY6Z7YnjGOPxYy8ooZmLC,spotify:artist:2AmfMGi3WZMxqFDHissIAe,Volcanic Love,spotify:album:2lsQE89fPFInz2J62K6waw,205977,When My Heart Felt Volcanic,The Aces
481,Shannon Saunders,spotify:track:4A6tXDSHlNmSVGAhYjM3jq,spotify:artist:0R99HoFbo8665kwfOtbvxb,Atlas,spotify:album:5yWZ80J9HQTfHFJcVkU3NR,217125,Atlas,Shannon Saunders
482,Kelela,spotify:track:1IMXP55WFCNNKWN1iyjhim,spotify:artist:1U0sIzpRtDkvu1hXXzxh60,Onanon,spotify:album:6pw1XPub1bSMq03ASVqRVu,271564,Take Me Apart,Kelela
483,Ji Nilsson,spotify:track:6fsDOOHoe0qH0GLB4Aqwqf,spotify:artist:4gXoprttD6M0HwTqQNsxOY,Proud,spotify:album:17RObh2peMLwPMXg9OKuvd,186573,Proud,Ji Nilsson
484,Austra,spotify:track:47XIhh2fd9Cwi7o9NhzbzD,spotify:artist:1o43SzzuLoyOxqThmp7s0g,Painful Like,spotify:album:1YPEIFsbeW9mJ1vCdFt8ci,239586,Olympia,Austra
485,Whitney Lindquist,spotify:track:1OvK0albaOlQp4in5SIo4W,spotify:artist:118P2e7JBu0x9T4C6N39a0,Her,spotify:album:79gF42mhwz8EmD1IGYXhGv,230317,Stripped,Whitney Lindquist
486,Demi Lovato,spotify:track:73Qlt0XuhuYzEigjitm2ze,spotify:artist:6S2OmqARrzebs0tKUEyXyp,Cool for the Summer,spotify:album:4HLTw1RgvSZkSLAc3pU9kU,214739,Confident (Deluxe Edition),Demi Lovato
487,Alyson Stoner,spotify:track:2WSZRMMVKMdJG7S3KqrtlH,spotify:artist:5ZuWrQzWBgJXbAfcLx2WTL,When It's Right,spotify:album:2JqLLVBCNDduvgXYPlpyfG,166315,When It's Right,Alyson Stoner
488,Nakala,spotify:track:4BfaaZIHfLSXwSVh4y96FX,spotify:artist:4dw1gYD42SHeDoxl7SKDhS,OTT,spotify:album:3s6mmajjhWWx1EUxIdZwHz,201000,Owe It To You - EP,Nakala
489,Beth Ditto,spotify:track:5yHmkXEK225be9S7A5VpaF,spotify:artist:7y8lzaGqtadGmtAtg2SGv4,I Wrote the Book,spotify:album:3tALUE6LjM6TyHQ1MufW6w,204880,EP,Beth Ditto
490,Avalon Young,spotify:track:0bRYfN2oTP0HcKA8WsBUQ7,spotify:artist:0J8scIzEPTBSRTqzL9GnCv,Sweet Talk,spotify:album:1zlO3C2jS3ASlqRLEQyZa7,177931,Sweet Talk,Avalon Young
491,Tiffany Gouché,spotify:track:5Pc6e95PaTPy0RsnL9MBgb,spotify:artist:2IEnjZsVDEPKUTxNinyqba,Dive,spotify:album:3amn5vqSUNI86LAdIRDN4b,206431,Dive - Single,Tiffany Gouché
492,Young M.A,spotify:track:5rTA7RosLJvZZ3UrsYqV7F,spotify:artist:7LvoDJUNGnOrPdGRzVtOJ9,Bonnie,spotify:album:23Fvpx2T1drg9lJ4WC0fXl,204391,Herstory,Young M.A
493,be steadwell,spotify:track:49pJ5Y5tKtyhwrNCjTJ6PA,spotify:artist:3u5pK1PzrhvlC0shYIJ1Tl,Netflix (feat. Asha Santee),spotify:album:0dxiRy5tK8dUwTJ3w911mR,158493,Queer Love Songs,"be steadwell, Asha Santee"
494,Meshell Ndegeocello,spotify:track:7G7KEYi11RGKKBMOTS29pa,spotify:artist:0uZRjholJ0fVC2J9EvnYnj,Sometimes It Snows in April,spotify:album:31HcIpZ9GOo9aKUPYwV3kG,425219,Ventriloquism,Meshell Ndegeocello
495,Kodie Shane,spotify:track:7JmwjDvhHti8qvgGR2iuZv,spotify:artist:1CUeN4GnHAGUk9nAXPorF4,Kissing Pink,spotify:album:5A9u1cGERDRjW2wDLSSq4s,155115,Kissing Pink,Kodie Shane
496,Savages,spotify:track:1Wq2ujMsdwMHDBkG1aCYCv,spotify:artist:1WFsBUAgQmrGQQEUyFKS60,Husbands,spotify:album:0aMC5DDAF86GvYNPaivEKd,170133,Silence Yourself,Savages
497,Daphne Willis,spotify:track:663uroxaoZPo9nuZYGibBA,spotify:artist:40Qm9cpj6FlrkoL1sziJ2S,Do It Like This,spotify:album:5TwUVS3aNDbUEFp4BAS0DF,161379,Do It Like This,Daphne Willis
498,The Harmaleighs,spotify:track:5dHtvNePlL1IkYOK6hi4ZP,spotify:artist:0JpiOyzO3e8FYCsDe8EaUN,Every Single Night,spotify:album:2TOpxHZUwdfUCNvyYK1nHJ,266610,Every Single Night,The Harmaleighs
499,Melissa Ferrick,spotify:track:0N9Y3D354Co14ZckMT7VCu,spotify:artist:6t9IqIePOaGmN4dsL5qQgS,Drive,spotify:album:76zsDgBCzR2eoYxplxHagj,395466,Freedom,Melissa Ferrick
500,Miley Cyrus,spotify:track:6aP62822amG9iAvSIPffBr,spotify:artist:5YGY8feqx7naU7z4HrwZM6,She's Not Him,spotify:album:5xG9gJcs9ut3qDWezHUlsX,213960,Younger Now,Miley Cyrus
501,Angel Haze,spotify:track:66Cl8DBb0lN92Zxc6DuzRe,spotify:artist:2cyyGl4qnHZL0o16t0fpJl,Moonrise Kingdom,spotify:album:1MxoNDGYqAgNg3Y7zlaxGi,267383,Back to the Woods,Angel Haze
502,Sizzy Rocket,spotify:track:2mOUGinvOzTwfy0btUk0qp,spotify:artist:2CBvbVxhd3ZJXRTCl88H7E,Bestie,spotify:album:32WQrb1hs7N3dgp1fSeRi6,209893,THRILLS,Sizzy Rocket
503,Pia Mia,spotify:track:6fhWH0doyn7cSOgjgsuLPh,spotify:artist:1BhWF9W2PngtPSyobKg0rP,"Hold On, We're Going Home",spotify:album:3sHGkl7UfE9JGDLv5sC7H5,181600,The Gift,Pia Mia
504,Moaning Lisa,spotify:track:7F80RFbX4viYZvkGGlbqov,spotify:artist:1WXcSHJO5BPd3oxAfsUDQo,Carrie (I Want A Girl),spotify:album:1FYLeOEhhhHZkICwAeXQLE,235885,Carrie (I Want A Girl),Moaning Lisa
505,Lipstick Homicide,spotify:track:4MYEpjYsQ4EdKnUQAp3v1V,spotify:artist:5J6uj0yBahnpt2roe5lY6t,Rockerchick,spotify:album:1fMyx8BL42U5SygIIhXnbX,126760,Out Utero,Lipstick Homicide
506,Jessica Manning,spotify:track:4PNQULKmjgECmNIbItMDPY,spotify:artist:495DZlpFUSFRNJLDpeBYKf,Kiss Me,spotify:album:6uFeHu1f4Lc6x4JnTUkeQw,256666,"Covers, Vol. 4",Jessica Manning
507,girl in red,spotify:track:5rDzL33WiYowiXlZhwWvst,spotify:artist:3uwAm6vQy7kWPS2bciKWx9,girls,spotify:album:7fnNlZ1txYTCsfhIja9XLj,198400,girls,girl in red
508,WILLOW,spotify:track:0RCpze7hmowZIGUJs9Dm7w,spotify:artist:3rWZHrfrsPBxVy692yAIxF,Marceline,spotify:album:0wfne2JijoxJm0qzJd3V5h,136760,ARDIPITHECUS,WILLOW
509,Princess Nokia,spotify:track:6M1sRwraMMNUVCLUvo4e1B,spotify:artist:6lay1nwbE6hTx1jivysUAL,Tomboy,spotify:album:0HDrblLFAsyyytu3xKtbnL,217439,1992 Deluxe,Princess Nokia
