artist_name,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
Myylo,5YSzJkh3hbuab1I8OBYjbS,I Do,0.492,0.594,4,-6.422,1,0.0305,0.118,0.0,0.202,0.555,84.808,32,unknown,7,['unknown'],low,Neutral
Bobby Guard,0XUHRNm4yHhC9XcfURMFL7,When All The World,0.545,0.398,5,-10.49,1,0.0363,0.166,0.000117,0.0963,0.0765,110.02,5,unknown,0,['unknown'],low,Neutral
Ben Platt,6AhoLcPx9fkz8BRqCZtZTL,River,0.624,0.131,7,-9.588,1,0.0314,0.947,0.0,0.107,0.351,101.038,64,hollywood pop show_tunes,29,"['hollywood', 'pop', 'show_tunes']",low,Neutral
Noah Antonio,20Q8AAl0p1P5Qqjs1jdsmU,Falling or Flying,0.463,0.141,3,-16.172,1,0.0414,0.925,1.36e-05,0.395,0.297,109.247,2,unknown,7,['unknown'],low,Neutral
Julien Baker,5KDqYTqobAjzb4XzwjHJ53,Faith Healer,0.4,0.628,4,-6.801,1,0.034,0.169,0.00126,0.129,0.399,155.757,54,ambient_folk art_pop indie_pop indie_rock,33,"['ambient_folk', 'art_pop', 'indie_pop', 'indie_rock']",low,Neutral
Sundaes,1lOiQDszsOgCICc9bnSFj0,boys who made me cry,0.522,0.459,5,-10.518,1,0.0266,0.605,0.34,0.424,0.345,143.928,5,unknown,9,['unknown'],low,Neutral
Kristóf Hajós,3QpcC7bd7V1Lc3nwNjLKud,Dancing to Sirens,0.631,0.767,8,-7.861,0,0.0285,0.0437,0.582,0.113,0.706,125.056,5,unknown,4,['unknown'],low,Neutral
John Grant,4mUnxOTWwlLoh3rMXWYsuc,Marz,0.528,0.383,10,-10.863,1,0.029,0.362,4.1e-05,0.0837,0.405,119.936,42,chamber_psych,46,['chamber_psych'],low,Neutral
Tess Hannah,2dtZNlIjeNhjhDV5w1JQZp,Closer,0.485,0.293,0,-9.397,0,0.0278,0.218,0.0634,0.102,0.148,132.151,1,unknown,5,['unknown'],low,Neutral
K Anderson,2D8vRRfI0DrJqoaIDIwSyf,This Changes Everything,0.71,0.703,1,-8.901,1,0.0834,0.0877,3.32e-05,0.339,0.835,88.033,11,indie_anthem-folk,4,['indie_anthem-folk'],low,Neutral
a balladeer,2MfyphgyjIrH8jIvktfVxc,Hail Mary,0.387,0.234,10,-11.96,1,0.0384,0.791,0.0,0.121,0.362,149.737,40,dutch_indie dutch_pop dutch_rock,14,"['dutch_indie', 'dutch_pop', 'dutch_rock']",low,Neutral
Perfume Genius,4vOGLbzSAo8wUsbYmwNrky,Alan - Rework,0.244,0.207,11,-12.071,1,0.0386,0.829,0.0879,0.144,0.137,117.325,56,art_pop chamber_pop chamber_psych chillwave electropop experimental_pop indie_pop indie_rock seattle_indie,24,"['art_pop', 'chamber_pop', 'chamber_psych', 'chillwave', 'electropop', 'experimental_pop', 'indie_pop', 'indie_rock', 'seattle_indie']",low,Neutral
a balladeer,0nbKoxS3zE4o8xrga5duqV,Seashell,0.598,0.24,5,-14.769,1,0.0507,0.855,4.43e-05,0.102,0.379,76.14,40,dutch_indie dutch_pop dutch_rock,34,"['dutch_indie', 'dutch_pop', 'dutch_rock']",low,Neutral
Owen Duff,7se9CuzpXCRXgMpMg2k9F8,Genet on Uranus (The Story of Us),0.515,0.298,7,-14.001,1,0.0316,0.474,0.396,0.147,0.186,125.955,7,unknown,9,['unknown'],low,Neutral
